BinomialReptileDatabase,MainBiogeographicRealm,Lifestyle,Diet,arboreal,fossorial,saxicolous,Citation,Family,Sex,SSM,SSBF,BM,BM.SD,BM.SE,BM.MAX,SVL,SVL.SD,SVL.SE,SVL.MAX,HL,HL.SD,HL.SE,HL.MAX,HW,HW.SD,HW.SE,HW.MAX,HH,HH.SD,HH.SE,HH.MAX,BF,BF.SD,BF.SE,BF.MAX,LJL,LJL.SD,LJL.SE,LJL.MAX,DataQuality,HigherTaxonomy,tips,acrodont,number_NAs,bf_plus_sd,svl_plus_sd,bm_plus_sd,hl_plus_sd,hw_plus_sd,hh_plus_sd,ljl_plus_sd
Pogona vitticeps,Australasia,Arboreal/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Jones, et al., 2020",Agamidae,Female,11,11,236.38,76.61403266,23.1,NA,184.64,20.19824497,6.09,NA,42.23,4.344778475,1.31,NA,37.89,4.576942211,1.38,NA,24.62,3.681453517,1.11,NA,52.66,19.83341625,5.98,NA,52.2,5.770927135,1.74,NA,Yes1,Acrodonta,Pogona_vitticeps,Acrodont,7,72.49341625,204.838245,312.9940327,46.57477848,42.46694221,28.30145352,57.97092714
Pogona vitticeps,Australasia,Arboreal/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, 2007",Agamidae,Male,8,8,NA,NA,NA,NA,217.76,28.75,NA,NA,38.1,3,NA,NA,48.37,6.27,NA,NA,29.06,3.71,NA,NA,112.39,18.32,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Pogona_vitticeps,Acrodont,18,130.71,246.51,NA,41.1,54.64,32.77,NA
Psammodromus algirus,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2004",Lacertidae,Female,6,6,NA,NA,NA,NA,63.2,9.2,NA,NA,14.8,2.2,NA,NA,9,1.8,NA,NA,6.8,1.3,NA,NA,5.2,3,NA,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Psammodromus_algirus,Non acrodont,18,8.2,72.4,NA,17,10.8,8.1,NA
Psammodromus algirus,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Verwaijen & Van Damme, 2007",Lacertidae,Male,12,12,NA,NA,NA,NA,67.1,NA,NA,NA,16.44,NA,NA,NA,10.19,NA,NA,NA,8.15,NA,NA,NA,8.61,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Psammodromus_algirus,Non acrodont,23,8.61,67.1,NA,16.44,10.19,8.15,NA
Psammodromus algirus,Paleartic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, 2007",Lacertidae,Male,9,9,NA,NA,NA,NA,74.84,3.33,NA,NA,18.34,0.78,NA,NA,11.61,0.72,NA,NA,8.77,0.54,NA,NA,11.52,1.65,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Psammodromus_algirus,Non acrodont,18,13.17,78.17,NA,19.12,12.33,9.31,NA
Psammodromus hispanicus,Paleartic,Terrestrial,Carnivorous,Other,Other,Other,"Verwaijen & Van Damme, 2007",Lacertidae,Male,6,6,NA,NA,NA,NA,41.1,NA,NA,NA,10.72,NA,NA,NA,6.56,NA,NA,NA,5.24,NA,NA,NA,2.26,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Psammodromus_hispanicus,Non acrodont,23,2.26,41.1,NA,10.72,6.56,5.24,NA
Pygomeles braconnieri,Afrotropic,Fossorial,NA,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,6,1,12.78,7.34,NA,NA,109.67,37.11,NA,NA,10.61,1.72,NA,NA,6.25,1.44,NA,NA,5.06,0.99,NA,NA,9.36,NA,NA,NA,9.4,1.98,NA,NA,Maybe,Scincoidea,Pygomeles_braconnieri,Non acrodont,15,9.36,146.78,20.12,12.33,7.69,6.05,11.38
Sauromalus ater,Neartic,Terrestrial/Saxicolous,Herbivorous,Other,Other,Saxicolous,"Lappin, et al., 2006a",Iguanidae,Male,34,34,191.3,45.48142478,7.8,NA,168.9,13.99428455,2.4,NA,32.8,2.915475947,0.5,NA,28.6,2.332380758,0.4,NA,15.7,1.749285568,0.3,NA,76.6,29.15475947,5,NA,NA,NA,NA,NA,Yes2,Pleurodonta,Sauromalus_ater,Non acrodont,10,105.7547595,182.8942845,236.7814248,35.71547595,30.93238076,17.44928557,NA
Sauromalus ater,Neartic,Terrestrial/Saxicolous,Herbivorous,Other,Other,Saxicolous,"Lappin, et al., 2006a",Iguanidae,Female,15,15,151.7,52.28527517,13.5,NA,151.3,15.10463505,3.9,NA,26.2,1.936491673,0.5,NA,21.5,1.161895004,0.3,NA,11.8,1.549193338,0.4,NA,20.7,7.745966692,2,NA,NA,NA,NA,NA,Yes2,Pleurodonta,Sauromalus_ater,Non acrodont,10,28.44596669,166.4046351,203.9852752,28.13649167,22.661895,13.34919334,NA
Sceloporus clarkii,Neartic,Arboreal/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Meyers & Irschick, 2015",Phrynosomatidae,unknown,49,49,NA,NA,NA,NA,80.98,16.87,2.41,NA,NA,NA,NA,NA,17.35,3.15,0.45,NA,11.68,2.24,0.32,NA,14.17,5.95,0.85,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Sceloporus_clarkii,Non acrodont,16,20.12,97.85,NA,NA,20.5,13.92,NA
Sceloporus magister,Neartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyers & Irschick, 2015",Phrynosomatidae,unknown,8,8,NA,NA,NA,NA,62.63,9.248956698,3.27,NA,NA,NA,NA,NA,13.39,1.527350647,0.54,NA,9.3,1.103086579,0.39,NA,8.32,3.082985566,1.09,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Sceloporus_magister,Non acrodont,16,11.40298557,71.8789567,NA,NA,14.91735065,10.40308658,NA
Sceloporus undulatus,Neartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyers & Irschick, 2015",Phrynosomatidae,unknown,68,68,NA,NA,NA,NA,58.19,5.854809988,0.71,NA,NA,NA,NA,NA,11.45,1.154469575,0.14,NA,7.96,0.742159013,0.09,NA,5.81,1.731704363,0.21,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Sceloporus_undulatus,Non acrodont,16,7.541704363,64.04480999,NA,NA,12.60446958,8.702159013,NA
Sceloporus undulatus,Neartic,Arboreal/Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, 2007",Phrynosomatidae,Male,16,16,NA,NA,NA,NA,59.64,4.35,NA,NA,12.8,1.11,NA,NA,10.7,1.01,NA,NA,7.17,0.73,NA,NA,3.57,2.54,NA,NA,NA,NA,NA,NA,Maybe,Pleurodonta,Sceloporus_undulatus,Non acrodont,18,6.11,63.99,NA,13.91,11.71,7.9,NA
Scelotes bipes,Afrotropic,Fossorial,Carnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,12,11,1.56,0.73,NA,NA,74.56,10.67,NA,NA,6.18,0.57,NA,NA,3.22,0.58,NA,NA,2.62,0.42,NA,NA,1.33,0.7,NA,NA,5.46,0.58,NA,NA,Yes1,Scincoidea,Scelotes_bipes,Non acrodont,14,2.03,85.23,2.29,6.75,3.8,3.04,6.04
Scelotes montispectus,Afrotropic,Terrestrial,NA,Other,Other,Other,"Guilloux, et al., 2020",Scincidae,unknown,1,1,1,NA,NA,NA,61.58,NA,NA,NA,6.81,NA,NA,NA,3.32,NA,NA,NA,2.83,NA,NA,NA,1.27,NA,NA,NA,6.4,NA,NA,NA,Maybe,Scincoidea,Scelotes_montispectus,Non acrodont,21,1.27,61.58,1,6.81,3.32,2.83,6.4
Scincus scincus,Paleartic,Terrestrial/Fossorial,Omnivorous,Other,Other,Other,"Guilloux, et al., 2020",Scincidae,unknown,5,5,18.75,3.96,NA,NA,92.2,3.04,NA,NA,18.76,0.72,NA,NA,10.65,0.75,NA,NA,9.92,0.88,NA,NA,18.39,3.59,NA,NA,18.44,1.47,NA,NA,Yes1,Scincoidea,Scincus_scincus,Non acrodont,14,21.98,95.24,22.71,19.48,11.4,10.8,19.91
Sphenodon punctatus,Australasia,Terrestrial,Carnivorous,Other,Other,Other,"Jones & Lappin, 2009",Sphenodontidae,Male,1,1,778,NA,NA,NA,250,NA,NA,NA,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,119.1,NA,NA,NA,NA,NA,NA,NA,Maybe,Rhynchocephalia,Sphenodon_punctatus,Acrodont,24,119.1,250,778,62,NA,NA,NA
Sphenodon punctatus,Australasia,Terrestrial,Carnivorous,Other,Other,Other,"Jones & Lappin, 2009",Sphenodontidae,Female,1,1,590,NA,NA,NA,220,NA,NA,NA,51.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.8,NA,NA,NA,NA,NA,NA,NA,Maybe,Rhynchocephalia,Sphenodon_punctatus,Acrodont,24,81.8,220,590,51.6,NA,NA,NA
Sphenodon punctatus,Australasia,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2010",Sphenodontidae,Male,74,74,434.8,172.6,NA,NA,230.2,28,NA,NA,60.6,6.7,NA,NA,45.2,6,NA,NA,33.4,4.3,NA,NA,173,46.8,NA,NA,65.3,7.2,NA,NA,Yes1,Rhynchocephalia,Sphenodon_punctatus,Acrodont,14,219.8,258.2,607.4,67.3,51.2,37.7,72.5
Sphenodon punctatus,Australasia,Terrestrial,Carnivorous,Other,Other,Other,"Herrel, et al., 2010",Sphenodontidae,Female,70,70,272.7,62.1,NA,NA,199.5,14.7,NA,NA,51.3,3.2,NA,NA,37.9,2.6,NA,NA,27.9,1.8,NA,NA,120.3,23.6,NA,NA,54.5,3.4,NA,NA,Yes1,Rhynchocephalia,Sphenodon_punctatus,Acrodont,14,143.9,214.2,334.8,54.5,40.5,29.7,57.9
Takydromus sexlineatus,Indomalaya,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Verwaijen & Van Damme, 2007",Lacertidae,Male,9,9,NA,NA,NA,NA,54.45,NA,NA,NA,13.73,NA,NA,NA,6.24,NA,NA,NA,5.43,NA,NA,NA,0.56,NA,NA,NA,NA,NA,NA,NA,Maybe,Lacertoidea,Takydromus_sexlineatus,Non acrodont,23,0.56,54.45,NA,13.73,6.24,5.43,NA
Tarentola mauritanica,Paleartic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Massetti, et al., 2017",Phyllodactylidae,Male,12,12,NA,NA,NA,NA,68.11,1.76,NA,77.13,19.72,0.43,NA,21.93,16.3,0.44,NA,18.6,8.77,0.26,NA,10.16,4.05,0.32,NA,5.48,NA,NA,NA,NA,Yes1,Gekkota,Tarentola_mauritanica,Non acrodont,13,4.37,69.87,NA,20.15,16.74,9.03,NA
Tarentola mauritanica,Paleartic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Massetti, et al., 2017",Phyllodactylidae,Female,18,18,NA,NA,NA,NA,60.27,1.17,NA,66.86,17.61,0.33,NA,19.75,14.25,0.24,NA,15.79,7.94,0.17,NA,8.89,2.39,0.14,NA,3.23,NA,NA,NA,NA,Yes1,Gekkota,Tarentola_mauritanica,Non acrodont,13,2.53,61.44,NA,17.94,14.49,8.11,NA
Tiliqua rugosa,Australasia,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, 2007",Scincidae,Male,13,13,NA,NA,NA,NA,282.44,17.07,NA,NA,45.9,3.08,NA,NA,51.64,3.8,NA,NA,33.21,2.54,NA,NA,161.64,30.11,NA,NA,NA,NA,NA,NA,Maybe,Scincoidea,Tiliqua_rugosa,Non acrodont,18,191.75,299.51,NA,48.98,55.44,35.75,NA
Trogonophis wiegmanni,Paleartic,Fossorial,Carnivorous,Other,Fossorial,Other,"Baeckens, et al., 2017",Trogonophidae,Male,15,15,6.83,1.626653005,0.42,NA,158.47,9.604998699,2.48,NA,6.96,0.542217668,0.14,NA,5.09,0.580947502,0.15,NA,4.07,0.542217668,0.14,NA,5.2,1.239354671,0.32,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Trogonophis_wiegmanni,Non acrodont,10,6.439354671,168.0749987,8.456653005,7.502217668,5.670947502,4.612217668,NA
Trogonophis wiegmanni,Paleartic,Fossorial,Carnivorous,Other,Fossorial,Other,"Baeckens, et al., 2017",Trogonophidae,Female,10,10,6.73,1.67600716,0.53,NA,153.2,10.49876183,3.32,NA,6.69,0.411096096,0.13,NA,5,0.442718872,0.14,NA,4,0.442718872,0.14,NA,5.08,1.011928851,0.32,NA,NA,NA,NA,NA,Yes1,Lacertoidea,Trogonophis_wiegmanni,Non acrodont,10,6.091928851,163.6987618,8.40600716,7.101096096,5.442718872,4.442718872,NA
Trogonophis wiegmanni,Paleartic,Fossorial,Carnivorous,Other,Fossorial,Other,"Baeckens, et al., 2017",Trogonophidae,unknown,25,25,6.79,1.6,0.32,NA,156.36,10.1,2.02,NA,6.85,0.5,0.1,NA,5.05,0.5,0.1,NA,4.04,0.45,0.09,NA,5.15,1.15,0.23,8,NA,NA,NA,NA,Yes1,Lacertoidea,Trogonophis_wiegmanni,Non acrodont,9,6.3,166.46,8.39,7.35,5.55,4.49,NA
Tropidurus hispidus,Neotropic,Arboreal/Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Simon, et al., 2019",Tropiduridae,unknown,31,31,NA,NA,NA,NA,94.6,12.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.02,30.32,NA,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Tropidurus_hispidus,Non acrodont,24,75.34,106.71,NA,NA,NA,NA,NA
Tropidurus semitaeniatus,Neotropic,Terrestrial/Saxicolous,Omnivorous,Other,Other,Saxicolous,"Simon, et al., 2019",Tropiduridae,unknown,30,30,NA,NA,NA,NA,69.48,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.56,6.81,NA,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Tropidurus_semitaeniatus,Non acrodont,24,31.37,75.51,NA,NA,NA,NA,NA
Salvator merianae,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Schaerlaeken, et al., 2012",Teiidae,unknown,35,35,NA,NA,NA,NA,375.6,21.2,NA,NA,78,7.2,NA,NA,53.7,6.1,NA,NA,45.6,5.4,NA,NA,334.8,99.6,NA,NA,96.6,9.8,NA,NA,Yes1,Lacertoidea,Salvator_merianae,Non acrodont,16,434.4,396.8,NA,85.2,59.8,51,106.4
Salvator merianae,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Fabre, et al., 2014",Teiidae,Male,10,10,NA,NA,NA,NA,376.7,42.4,NA,425,81.75,10.88,NA,99.65,NA,NA,NA,NA,NA,NA,NA,NA,409.39,93.24,NA,534.24,NA,NA,NA,NA,Yes1,Lacertoidea,Salvator_merianae,Non acrodont,19,502.63,419.1,NA,92.63,NA,NA,NA
Salvator merianae,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"Fabre, et al., 2014",Teiidae,Female,9,9,NA,NA,NA,NA,325,18.83,NA,348,65.36,3.21,NA,70.67,NA,NA,NA,NA,NA,NA,NA,NA,243.15,44.38,NA,312.94,NA,NA,NA,NA,Yes1,Lacertoidea,Salvator_merianae,Non acrodont,19,287.53,343.83,NA,68.57,NA,NA,NA
Tupinambis teguixin,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"McBrayer & White, 2002",Teiidae,Male,3,3,NA,NA,NA,NA,317.33,4.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.33,15.56,NA,105,NA,NA,NA,NA,Yes1,Lacertoidea,Tupinambis_teguixin,Non acrodont,23,86.89,321.37,NA,NA,NA,NA,NA
Tupinambis teguixin,Neotropic,Terrestrial,Omnivorous,Other,Other,Other,"McBrayer & White, 2002",Teiidae,Female,2,2,NA,NA,NA,NA,305,12.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,5.66,NA,90,NA,NA,NA,NA,Yes1,Lacertoidea,Tupinambis_teguixin,Non acrodont,23,63.66,317.72,NA,NA,NA,NA,NA
Typhlosaurus caecus,Afrotropic,Fossorial,Carnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,32,32,3.42,1.48,NA,NA,171.3,34.42,NA,NA,6.7,0.8,NA,NA,3.39,0.54,NA,NA,1.98,0.27,NA,NA,3.01,1.6,NA,NA,4.67,0.77,NA,NA,Yes1,Scincoidea,Typhlosaurus_caecus,Non acrodont,14,4.61,205.72,4.9,7.5,3.93,2.25,5.44
Typhlosaurus lomiae,Afrotropic,Fossorial,Carnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,9,9,0.92,0.19,NA,NA,106.33,10.49,NA,NA,5.52,0.29,NA,NA,2.6,0.09,NA,NA,2.13,0.07,NA,NA,0.45,0.12,NA,NA,3.99,0.5,NA,NA,Yes1,Scincoidea,Typhlosaurus_lomiae,Non acrodont,14,0.57,116.82,1.11,5.81,2.69,2.2,4.49
Typhlosaurus vermis,Afrotropic,Fossorial,Carnivorous,Other,Fossorial,Other,"Guilloux, et al., 2020",Scincidae,unknown,6,6,2.68,1.09,NA,NA,195.33,48.57,NA,NA,6.76,0.99,NA,NA,3.18,0.37,NA,NA,2.67,0.33,NA,NA,0.93,0.25,NA,NA,5.4,0.86,NA,NA,Yes1,Scincoidea,Typhlosaurus_vermis,Non acrodont,14,1.18,243.9,3.77,7.75,3.55,3,6.26
Uromastix acanthinura,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, 2007",Agamidae,Male,4,4,NA,NA,NA,NA,159.46,26.11,NA,NA,31.79,4.91,NA,NA,32.69,4.58,NA,NA,18.81,2.56,NA,NA,68.39,23.74,NA,NA,NA,NA,NA,NA,Maybe,Acrodonta,Uromastix_acanthinura,Acrodont,18,92.13,185.57,NA,36.7,37.27,21.37,NA
Uromastyx aegyptia,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, et al., 2014",Agamidae,Male,7,7,362.43,334.38,NA,891.8,205.4,92.11,NA,330,31.1,9.75,NA,42.1,31.67,11.96,NA,48.6,20,7.08,NA,29.7,83.4,50.22,NA,140.7,35.6,11.85,NA,48.9,Yes1,Acrodonta,Uromastyx_aegyptia,Acrodont,7,133.62,297.51,696.81,40.85,43.63,27.08,47.45
Uromastyx aegyptia,Paleartic,Terrestrial,Herbivorous,Other,Other,Other,"Herrel, et al., 2014",Agamidae,Female,5,5,369.5,258.2,NA,716,224.3,63.57,NA,290,33.96,7.36,NA,43.7,34.26,9.23,NA,45.2,20.72,4.77,NA,25.8,82.5,35.96,NA,117.9,38.34,9.36,NA,49.7,Yes1,Acrodonta,Uromastyx_aegyptia,Acrodont,7,118.46,287.87,627.7,41.32,43.49,25.49,47.7
Urosaurus ornatus,Neartic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Irschick and Meyers, 2007",Phrynosomatidae,Male,12,12,NA,NA,NA,NA,49.42,2.147743001,0.62,52.7,11.36,0.623538291,0.18,12.04,9.47,0.415692194,0.12,10.21,6.18,0.484974226,0.14,6.86,4.98,1.073871501,0.31,6.9,NA,NA,NA,NA,Yes1,Pleurodonta,Urosaurus_ornatus,Non acrodont,8,6.053871501,51.567743,NA,11.98353829,9.885692194,6.664974226,NA
Urosaurus ornatus,Neartic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Irschick and Meyers, 2007",Phrynosomatidae,Female,9,9,NA,NA,NA,NA,50.64,3.54,1.18,55.84,10.86,0.54,0.18,11.43,8.82,0.42,0.14,9.49,6.02,0.27,0.09,6.5,4.16,0.9,0.3,6,NA,NA,NA,NA,Yes1,Pleurodonta,Urosaurus_ornatus,Non acrodont,8,5.06,54.18,NA,11.4,9.24,6.29,NA
Urosaurus ornatus,Neartic,Arboreal/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyers & Irschick, 2015",Phrynosomatidae,unknown,303,303,NA,NA,NA,NA,49.54,2.959172182,0.17,NA,NA,NA,NA,NA,9.05,0.696275807,0.04,NA,6.08,0.522206856,0.03,NA,3.51,0.870344759,0.05,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Urosaurus_ornatus,Non acrodont,16,4.380344759,52.49917218,NA,NA,9.746275807,6.602206856,NA
Uta stansburiana,Neartic,Terrestrial/Saxicolous,Carnivorous,Other,Other,Saxicolous,"Meyers & Irschick, 2015",Phrynosomatidae,unknown,3,3,NA,NA,NA,NA,46.77,1.385640646,0.8,NA,NA,NA,NA,NA,9.02,0.554256258,0.32,NA,6.07,0.502294734,0.29,NA,2.88,0.36373067,0.21,NA,NA,NA,NA,NA,Yes1,Pleurodonta,Uta_stansburiana,Non acrodont,16,3.24373067,48.15564065,NA,NA,9.574256258,6.572294734,NA
Varanus exanthematicus,Afrotropic,Arboreal/Terrestrial,Carnivorous,Other,Other,Other,"Herrel, 2007",Varanidae,Male,7,7,NA,NA,NA,NA,237.9,24.38,NA,NA,48.01,4.65,NA,NA,33.58,3.07,NA,NA,23.99,2.94,NA,NA,86.61,21,NA,NA,NA,NA,NA,NA,Yes1,Anguimorpha,Varanus_exanthematicus,Non acrodont,18,107.61,262.28,NA,52.66,36.65,26.93,NA
Xenosaurus grandis,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2001a",Xenosauridae,Male,11,11,NA,NA,NA,NA,109.78,7.51,NA,NA,26.45,2.32,NA,NA,21.63,1.64,NA,NA,13.18,0.58,NA,NA,18.94,5.12,NA,NA,28.79,1.96,NA,NA,Yes1,Anguimorpha,Xenosaurus_grandis,Non acrodont,16,24.06,117.29,NA,28.77,23.27,13.76,30.75
Xenosaurus grandis,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2001a",Xenosauridae,Female,10,10,NA,NA,NA,NA,112.49,8.1,NA,NA,26.95,2.33,NA,NA,21.84,1.83,NA,NA,13.16,1.08,NA,NA,18.3,4.93,NA,NA,28.46,2.09,NA,NA,Yes1,Anguimorpha,Xenosaurus_grandis,Non acrodont,16,23.23,120.59,NA,29.28,23.67,14.24,30.55
Xenosaurus newmanorum,Neotropic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2001a",Xenosauridae,Male,7,7,NA,NA,NA,NA,106.42,6.13,NA,NA,28.06,1.61,NA,NA,21.65,0.93,NA,NA,13.31,0.72,NA,NA,20.38,5.29,NA,NA,30.07,1.8,NA,NA,Yes1,Anguimorpha,Xenosaurus_newmanorum,Non acrodont,16,25.67,112.55,NA,29.67,22.58,14.03,31.87
Xenosaurus newmanorum,Neotropic,Saxicolous,Omnivorous,Other,Other,Saxicolous,"Herrel, et al., 2001a",Xenosauridae,Female,13,13,NA,NA,NA,NA,90.09,28.09,NA,NA,22.39,6.16,NA,NA,17.72,4.75,NA,NA,10.89,2.69,NA,NA,13.36,7.55,NA,NA,23.87,6.85,NA,NA,Yes1,Anguimorpha,Xenosaurus_newmanorum,Non acrodont,16,20.91,118.18,NA,28.55,22.47,13.58,30.72
Xenosaurus platyceps,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2001a",Xenosauridae,Male,10,10,NA,NA,NA,NA,89.37,16.51,NA,NA,22.35,4.25,NA,NA,18.99,4.83,NA,NA,10.37,2.06,NA,NA,12.43,4.36,NA,NA,24.21,5.28,NA,NA,Yes1,Anguimorpha,Xenosaurus_platyceps,Non acrodont,16,16.79,105.88,NA,26.6,23.82,12.43,29.49
Xenosaurus platyceps,Neotropic,Saxicolous,Carnivorous,Other,Other,Saxicolous,"Herrel, et al., 2001a",Xenosauridae,Female,15,15,NA,NA,NA,NA,98.54,20.71,NA,NA,23.11,4.39,NA,NA,19.62,4.11,NA,NA,10.66,1.91,NA,NA,11.34,3.61,NA,NA,25.32,5.15,NA,NA,Yes1,Anguimorpha,Xenosaurus_platyceps,Non acrodont,16,14.95,119.25,NA,27.5,23.73,12.57,30.47
